"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Botswana","BWA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.10838556","6.3660779","6.66529799","6.40933847","6.09125996","5.26532936","4.87599421","5.52080727","5.89747286","6.62081194","6.26718187","5.86915016","6.35010576","6.49913645","5.8804059","6.10287762","5.76837635","6.62986994","6.04010344","6.12193203","6.1213398","6.30315065","5.73650789","6.25574684","",
"Central African Republic","CAF","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3808217","4.01043987","4.23633623","4.18572474","4.14367914","4.22857571","4.31108665","4.6338892","4.02635765","4.68325615","3.56699872","3.67561865","3.91814446","4.76660204","4.56557369","5.03434181","5.44402313","6.66541576","10.99484062","7.76081514","8.98488045","9.15097523","9.94993496","10.65553188","",
"Canada","CAN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.24808502","8.62476349","8.85665226","9.01086521","9.06623363","9.03529835","9.33188725","9.4346962","9.59427929","10.70402527","10.70066547","10.40518665","10.5407114","10.43559265","10.28115654","10.76397896","11.05626965","10.9242115","10.92262077","11.04823494","13.01732922","12.38106632","11.08119678","11.18692875","11.3095665",
"Central Europe and the Baltics","CEB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.69165860171786","5.89151115487761","6.14655643166915","6.39181453962362","6.34872648893752","6.36079885673052","6.21808667119796","6.13434040299262","6.37223551757614","6.84349151150251","6.8722469774361","6.57652518839412","6.59441775885732","6.65589935499319","6.57429082518279","6.49835712782675","6.64432931269871","6.56979793772616","6.51336173608474","6.61921750835365","7.1921751142776","7.35977235601732","7.01518291832565","7.17196245394047","",
"Switzerland","CHE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.13442421","9.46040058","9.88000107","10.13696766","10.22576523","10.05823421","9.5802002","9.41693783","9.53167725","10.1415062","9.9907856","10.10393143","10.33511066","10.59444523","10.6751194","10.97983074","11.20248795","11.37471581","11.19891071","11.42588997","11.98960876","11.95855618","11.59911823","11.69096088","",
"Channel Islands","CHI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.00020742","7.09733105","7.20833778","7.25047779","6.91028595","6.62372065","6.07235622","6.21259642","6.73954487","7.25026846","6.81958389","6.79947519","7.01951265","7.47552681","7.84150171","8.3513937","8.55767059","9.090518","9.15040398","9.30968475","9.69734573","9.72450161","10.0053072","10.17470455","10.53092575",
"China","CHN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4535861","4.19752026","4.32156181","4.35460472","4.22949076","4.11230803","3.88655019","3.61737728","3.83627748","4.27631998","4.15821123","4.26719379","4.49046612","4.63882637","4.69880247","4.85367584","4.88338089","4.9695034","5.06933308","5.26516867","5.50441837","5.25590324","5.88078785","5.94388866","",
"Cote d'Ivoire","CIV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.61476922","3.59047151","3.54146051","3.95147705","4.02148724","3.96639085","3.92861462","4.19379663","4.1387105","4.63971424","4.57494831","4.39700699","4.4273715","3.71773791","3.7310183","3.2198832","3.32101274","3.24693036","3.0916779","3.18916845","3.62327886","3.76207662","3.63847613","3.43218303","",
"Cameroon","CMR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.29573393","4.16830397","4.02669907","3.90227985","3.72798991","3.77274442","3.73662829","3.79498792","3.65843678","3.49997187","3.57742167","3.85282946","3.9310236","3.63136435","4.34148788","4.12600517","4.02253723","3.79293942","3.61970162","3.65157914","4.25051928","4.34109783","4.49439144","4.5545516","",
